ESTU_TIPODOCUMENTO;CORRECTO;ESTU_GENERO;PERIODO;ESTU_PAIS_RESIDE;ESTU_DEPTO_RESIDE;ESTU_MCPIO_RESIDE;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_ESTRATOVIVIENDA;FAMI_PERSONASHOGAR;FAMI_CUARTOSHOGAR;FAMI_TIENEINTERNET;FAMI_TIENECOMPUTADOR;FAMI_TIENELAVADORA;FAMI_TIENEHORNOMICROOGAS;FAMI_TIENESERVICIOTV;FAMI_TIENEAUTOMOVIL;FAMI_TIENEMOTOCICLETA;FAMI_TIENECONSOLAVIDEOJUEGOS;FAMI_NUMLIBROS;FAMI_COMELECHEDERIVADOS;FAMI_COMECARNEPESCADOHUEVO;FAMI_COMECEREALFRUTOSLEGUMBRE;FAMI_TRABAJOLABORPADRE;FAMI_TRABAJOLABORMADRE;FAMI_SITUACIONECONOMICA;ESTU_DEDICACIONLECTURADIARIA;ESTU_DEDICACIONINTERNET;ESTU_HORASSEMANATRABAJA;ESTU_TIPOREMUNERACION;COLE_NOMBRE_ESTABLECIMIENTO;COLE_GENERO;COLE_NATURALEZA;COLE_CALENDARIO;COLE_BILINGUE;COLE_CARACTER;COLE_NOMBRE_SEDE;COLE_SEDE_PRINCIPAL;COLE_AREA_UBICACION;COLE_JORNADA;COLE_MCPIO_UBICACION;COLE_DEPTO_UBICACION;PUNT_GLOBAL;edad
TI;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;No sabe;Tecnica o Tecnologica incompleta;Estrato 3;3 a 4;Tres;Si;Si;Si;Si;Si;Si;No;No;0 A 10 LIBROS;Todos o casi todos los dias ;Todos o casi todos los dias;1 o 2 veces por semana;No sabe;No aplica;Igual;No leo por entretenimiento;Entre 1 y 3 horas;0;No;COL PARROQ SAN JUAN BAUTISTA;MIXTO;NO OFICIAL;B;N;TECNICO;COL PARROQ SAN JUAN BAUTISTA;S;URBANO;MANANA;CALI;VALLE;272;17
TI;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;Educacion Porfesional completa;Educacion Profesional completa;Estrato 5;3 a 4;Tres;Si;Si;No;Si;Si;Si;No;No;11 A 25 LIBROS;3 a 5 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;No sabe;No sabe;Peor;30 minutos o menos;Entre 1 y 3 horas;0;No;CORPORACION COLEGIO AMERICAS UNIDAS;MIXTO;NO OFICIAL;B;N;ACADEMICO;CORPORACION COLEGIO AMERICAS UNIDAS;S;URBANO;MANANA;CALI;VALLE;258;16
TI;COLOMBIA;F;20171;COLOMBIA;VALLE;CALI;No aplica;Educacion Profesional completa;Estrato 4;5 a 6;Cuatro;Si;Si;Si;Si;Si;Si;Si;No;26 A 100 LIBROS;Todos o casi todos los dias ;3 a 5 veces por semana;1 o 2 veces por semana;No aplica;Es vendedor o trabaja en atencion al publico ;Igual;Entre 1 y 2 horas;Mas de 3 horas;0;No;SANTA  MARIA STELLA MARIS;FEMENINO;NO OFICIAL;B;N;ACADEMICO;SANTA  MARIA STELLA MARIS;S;URBANO;COMPLETA;CALI;VALLE;339;15
TI;COLOMBIA;F;20171;COLOMBIA;VALLE;CALI;Secundaria Bachillerato completa;Tecnica o Tecnologa completa;Estrato 3;3 a 4;Dos;Si;Si;Si;Si;Si;Si;No;No;0 A 10 LIBROS;Todos o casi todos los dias ;Todos o casi todos los dias;Todos o casi todos los dias;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Mejor;30 minutos o menos;Entre 1 y 3 horas;0;No;FUND. ED. PABLO VI COLEGIO PARR. NTRA. SEÃ‘ORA DE GUADALUPE;MIXTO;NO OFICIAL;B;N;TECNICO;FUND COL  NUESTRA SRA DE GUADALUPE;S;URBANO;MANANA;CALI;VALLE;263;15
TI;COLOMBIA;F;20171;COLOMBIA;VALLE;CALI;Educacion Porfesional completa;Educacion Profesional completa;Estrato 6;5 a 6;Cuatro;Si;Si;Si;Si;Si;Si;No;Si;MAS DE 100 LIBROS;3 a 5 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;No aplica;No aplica;Igual;30 minutos o menos;Entre 30 y 60 minutos;0;No;COLEGIO GIMNASIO LA COLINA;MIXTO;NO OFICIAL;B;N;ACADEMICO;COLEGIO GIMNASIO LA COLINA;S;URBANO;COMPLETA;CALI;VALLE;322;17
TI;COLOMBIA;F;20171;COLOMBIA;VALLE;CALI;Secundaria Bachillerato completa;Secundaria (Bachillerato) completa;Estrato 3;5 a 6;Cinco;Si;Si;Si;Si;Si;Si;Si;Si;MAS DE 100 LIBROS;3 a 5 veces por semana;3 a 5 veces por semana;Nunca o rara vez comemos eso;Pensionado;No sabe;Igual;Mas de 2 horas;Entre 30 y 60 minutos;0;No;LA PRESENTACION EL PARAISO;MIXTO;NO OFICIAL;B;N;TECNICO;LA PRESENTACION EL PARAISO;S;URBANO;COMPLETA;CALI;VALLE;285;16
TI;COLOMBIA;F;20171;COLOMBIA;VALLE;CALI;Postgrado;Educacion Profesional completa;Estrato 4;5 a 6;Tres;Si;Si;Si;Si;Si;Si;No;No;26 A 100 LIBROS;Todos o casi todos los dias ;Todos o casi todos los dias;Todos o casi todos los dias;Pensionado;Pensionado;Igual;Mas de 2 horas;Mas de 3 horas;0;No;COL DE LA SAGRADA FAMILIA;FEMENINO;NO OFICIAL;B;N;ACADEMICO;COL DE LA SAGRADA FAMILIA;S;URBANO;MANANA;CALI;VALLE;344;16
TI;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;No sabe;No sabe;Estrato 3;5 a 6;Cinco;Si;Si;Si;Si;Si;No;Si;Si;0 A 10 LIBROS;Todos o casi todos los dias ;1 o 2 veces por semana;Nunca o rara vez comemos eso;No sabe;No sabe;Igual;No leo por entretenimiento;Mas de 3 horas;0;No;FUND COL PAR SAN PEDRO CLAVER;MIXTO;NO OFICIAL;B;N;TECNICO;FUND COL PAR SAN PEDRO CLAVER;S;URBANO;MANANA;CALI;VALLE;210;16
TI;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;Tecnica o Tecnologica completa;Secundaria (Bachillerato) completa;Estrato 4;3 a 4;Tres;Si;Si;Si;Si;Si;Si;Si;Si;11 A 25 LIBROS;Todos o casi todos los dias ;1 o 2 veces por semana;Todos o casi todos los dias;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Mejor;30 minutos o menos;Mas de 3 horas;0;No;COL BILINGÃœE LANCASTER;MIXTO;NO OFICIAL;B;S;TECNICO;COL BILINGÃœE LANCASTER;S;URBANO;COMPLETA;CALI;VALLE;241;16
TI;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;Educacion Porfesional completa;Educacion Profesional completa;Estrato 3;5 a 6;Cuatro;Si;Si;Si;Si;Si;Si;No;No;26 A 100 LIBROS;Todos o casi todos los dias ;Todos o casi todos los dias;3 a 5 veces por semana;No sabe;No sabe;Igual;Entre 30 y 60 minutos;Mas de 3 horas;0;No;COLEGIO FRANCISCANO DE FRAY DAMIAN GONZALEZ;MIXTO;NO OFICIAL;B;N;ACADEMICO;COLEGIO FRANCISCANO DE FRAY DAMIAN GONZALEZ;S;RURAL;COMPLETA;CALI;VALLE;382;16
CC;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;Secundaria Bachillerato completa;Educacion Profesional completa;Estrato 4;5 a 6;Tres;Si;Si;Si;Si;Si;Si;Si;Si;11 A 25 LIBROS;3 a 5 veces por semana;3 a 5 veces por semana;Todos o casi todos los dias;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Igual;30 minutos o menos;Entre 1 y 3 horas;0;No;COL. NUESTRA SEÃ‘ORA DE LA GRACIA;FEMENINO;NO OFICIAL;B;N;ACADEMICO;COL. NUESTRA SEÃ‘ORA DE LA GRACIA;S;URBANO;COMPLETA;CALI;VALLE;256;18
TI;COLOMBIA;F;20171;COLOMBIA;VALLE;CALI;Secundaria Bachillerato completa;Secundaria (Bachillerato) completa;Estrato 3;1 a 2;Dos;No;No;Si;Si;Si;No;Si;No;0 A 10 LIBROS;3 a 5 veces por semana;Todos o casi todos los dias;3 a 5 veces por semana;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Igual;30 minutos o menos;Entre 30 y 60 minutos;0;No;COL PARROQ SAN JUAN BAUTISTA;MIXTO;NO OFICIAL;B;N;TECNICO;COL PARROQ SAN JUAN BAUTISTA;S;URBANO;MANANA;CALI;VALLE;248;17
TI;COLOMBIA;F;20171;COLOMBIA;VALLE;CALI;Tecnica o Tecnologica completa;Educacion Profesional completa;Estrato 3;3 a 4;Dos;Si;Si;Si;Si;Si;No;No;Si;26 A 100 LIBROS;3 a 5 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Igual;30 minutos o menos;Entre 1 y 3 horas;0;No;COLEGIO SAN FRANCISCO DE ASIS;MIXTO;NO OFICIAL;B;N;TECNICO/ACADEMICO;COLEGIO SAN FRANCISCO DE ASIS;S;URBANO;MANANA;CALI;VALLE;308;16
TI;COLOMBIA;F;20171;COLOMBIA;VALLE;CALI;No sabe;Primaria incompleta;Estrato 2;1 a 2;Dos;No;No;No;Si;Si;No;No;No;11 A 25 LIBROS;1 o 2 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;No aplica;Es vendedor o trabaja en atencion al publico ;Peor;No leo por entretenimiento;No Navega Internet;0;No;COLEGIO PARROQUIAL NUESTRA SEÃ‘ORA DE LOS ANDES;MIXTO;NO OFICIAL;B;N;ACADEMICO;COLEGIO PARROQUIAL NUESTRA SEÃ‘ORA DE LOS ANDES;S;URBANO;MANANA;CALI;VALLE;254;16
CR;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;Secundaria Bachillerato incompleta;Secundaria (Bachillerato) completa;Estrato 3;5 a 6;Cinco;Si;Si;Si;No;Si;No;Si;No;26 A 100 LIBROS;Nunca o rara vez comemos eso;3 a 5 veces por semana;Nunca o rara vez comemos eso;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Igual;No leo por entretenimiento;Entre 1 y 3 horas;0;No;INST CIAL ARQUIDIOCESANO;MIXTO;NO OFICIAL;B;N;TECNICO;INST CIAL ARQUIDIOCESANO;S;URBANO;TARDE;CALI;VALLE;242;18
TI;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;No aplica;Primaria completa;Estrato 4;5 a 6;Cuatro;Si;Si;Si;Si;Si;Si;No;Si;26 A 100 LIBROS;Todos o casi todos los dias ;Todos o casi todos los dias;3 a 5 veces por semana;No sabe;No sabe;Mejor;No leo por entretenimiento;Entre 1 y 3 horas;0;No;COLEGIO SAN ANTONIO MARIA CLARET;MIXTO;NO OFICIAL;B;N;ACADEMICO;COLEGIO SAN ANTONIO MARIA CLARET;S;URBANO;MANANA;CALI;VALLE;308;16
TI;COLOMBIA;F;20171;COLOMBIA;VALLE;CALI;No sabe;Secundaria (Bachillerato) completa;Estrato 2;3 a 4;Dos;Si;Si;Si;Si;Si;No;Si;No;26 A 100 LIBROS;Todos o casi todos los dias ;Todos o casi todos los dias;Todos o casi todos los dias;No sabe;Es vendedor o trabaja en atencion al publico ;Igual;Entre 30 y 60 minutos;Mas de 3 horas;0;No;COL MAYOR SANTIAGO DE CALI;MIXTO;NO OFICIAL;B;N;ACADEMICO;COL MAYOR SANTIAGO DE CALI;S;URBANO;MANANA;CALI;VALLE;316;16
TI;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;No sabe;No sabe;Estrato 1;5 a 6;Dos;No;Si;Si;No;Si;Si;Si;Si;26 A 100 LIBROS;Nunca o rara vez comemos eso;3 a 5 veces por semana;Nunca o rara vez comemos eso;Es vendedor o trabaja en atencion al publico;No sabe;Igual;No leo por entretenimiento;30 minutos o menos;0;No;COLEGIO  DE NUESTRA SEÃ‘ORA DE CHIQUINQUIRA;MIXTO;NO OFICIAL;B;N;TECNICO;COLEGIO  DE NUESTRA SEÃ‘ORA DE CHIQUINQUIRA;S;URBANO;COMPLETA;CALI;VALLE;297;16
TI;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;Secundaria Bachillerato completa;Tecnica o Tecnologa completa;Estrato 2;5 a 6;Cinco;Si;Si;Si;Si;Si;No;Si;Si;11 A 25 LIBROS;Todos o casi todos los dias ;3 a 5 veces por semana;1 o 2 veces por semana;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Igual;No leo por entretenimiento;Mas de 3 horas;0;No;INST CIAL ARQUIDIOCESANO;MIXTO;NO OFICIAL;B;N;TECNICO;INST CIAL ARQUIDIOCESANO;S;URBANO;TARDE;CALI;VALLE;317;15
CC;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;Secundaria Bachillerato completa;Secundaria (Bachillerato) completa;Estrato 4;1 a 2;Dos;Si;Si;Si;Si;Si;No;No;Si;MAS DE 100 LIBROS;Todos o casi todos los dias ;Todos o casi todos los dias;3 a 5 veces por semana;No sabe;No sabe;Mejor;Entre 1 y 2 horas;Mas de 3 horas;0;No;COL COOMEVA;MIXTO;NO OFICIAL;B;N;ACADEMICO;COL COOMEVA;S;URBANO;COMPLETA;CALI;VALLE;350;18
TI;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;Tecnica o Tecnologica completa;Tecnica o Tecnologa completa;Estrato 4;1 a 2;Dos;Si;Si;Si;Si;Si;No;No;Si;11 A 25 LIBROS;Todos o casi todos los dias ;3 a 5 veces por semana;1 o 2 veces por semana;Es vendedor o trabaja en atencion al publico;No sabe;Mejor;Entre 30 y 60 minutos;Entre 1 y 3 horas;0;No;COLEGIO ANDINO;MIXTO;NO OFICIAL;B;N;ACADEMICO;COLEGIO ANDINO;S;URBANO;COMPLETA;CALI;VALLE;294;15
TI;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;Secundaria Bachillerato completa;Postgrado;Estrato 4;1 a 2;Dos;Si;Si;Si;Si;Si;Si;No;Si;MAS DE 100 LIBROS;3 a 5 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Igual;No leo por entretenimiento;Entre 30 y 60 minutos;0;No;COLEGIO DE SAN LUIS GONZAGA;MIXTO;NO OFICIAL;B;N;ACADEMICO;COLEGIO DE SAN LUIS GONZAGA;S;URBANO;MANANA;CALI;VALLE;228;16
CR;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;Secundaria Bachillerato completa;Educacion Profesional incompleta;Estrato 4;1 a 2;Dos;Si;Si;Si;No;Si;Si;No;No;26 A 100 LIBROS;3 a 5 veces por semana;Todos o casi todos los dias;3 a 5 veces por semana;No sabe;Es vendedor o trabaja en atencion al publico ;Igual;Entre 30 y 60 minutos;Mas de 3 horas;0;No;LICEO QUIAL;MIXTO;NO OFICIAL;B;N;ACADEMICO;LICEO QUIAL - SEDE PRINCIPAL;S;URBANO;COMPLETA;CALI;VALLE;305;17
