ESTU_TIPODOCUMENTO,ESTU_GENERO,PERIODO,ESTU_PAIS_RESIDE,ESTU_DEPTO_RESIDE,ESTU_MCPIO_RESIDE,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,FAMI_TRABAJOLABORPADRE,FAMI_TRABAJOLABORMADRE,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,ESTU_HORASSEMANATRABAJA,ESTU_TIPOREMUNERACION,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_MCPIO_UBICACION,COLE_DEPTO_UBICACION,PUNT_GLOBAL,edad
TI,F,20191,COLOMBIA,CUNDINAMARCA,BUCARAMANGA,No aplica,Educacion Profesional incompleta,Estrato 4,7 o más,Dos,Si,Si,No,Si,No,Si,Si,No,0 A 10 LIBROS,Todos o casi todos los dias,Todos o casi todos los dias,Todos o casi todos los dias,No,No,Peor,Entre 1 y 3 horas,Más de 3 horas,21-40,Si,COLEGIO CENTRAL,FEMENINO,OFICIAL,B,N,TECNICO,SEDE SECUNDARIA,S,RURAL,MANANA,BARRANQUILLA,ATLANTICO,183,22
CE,F,20181,COLOMBIA,SANTANDER,BARRANQUILLA,Educacion Profesional completa,Educacion Profesional completa,Estrato 1,3 a 4,Dos,Si,No,Si,Si,No,No,No,No,MAS DE 100 LIBROS,Nunca,3 a 5 veces por semana,Nunca,No sabe,No sabe,Igual,Entre 1 y 3 horas,Más de 3 horas,11-20,No,COLEGIO COMFANDI EL PRADO,MIXTO,OFICIAL,A,S,ACADEMICO,SEDE SECUNDARIA,N,RURAL,MANANA,BARRANQUILLA,CUNDINAMARCA,282,28
CE,F,20172,COLOMBIA,VALLE,BARRANQUILLA,Educacion Profesional completa,Educacion Profesional completa,Estrato 5,7 o más,Tres,Si,Si,No,No,Si,No,No,No,51 A 100 LIBROS,Nunca,Todos o casi todos los dias,1 vez por semana,No sabe,No aplica,Mejor,Entre 1 y 3 horas,Más de 3 horas,21-40,No,COLEGIO CENTRAL,FEMENINO,OFICIAL,B,N,TECNICO,SEDE SECUNDARIA,N,URBANO,TARDE,BARRANQUILLA,ANTIOQUIA,209,17
CC,F,20172,COLOMBIA,CUNDINAMARCA,BOGOTA,Educacion Profesional incompleta,Educacion Profesional completa,Estrato 4,3 a 4,Dos,Si,Si,Si,Si,Si,Si,No,No,MAS DE 100 LIBROS,1 vez por semana,3 a 5 veces por semana,3 a 5 veces por semana,No,No,Peor,Más de 3 horas,Más de 3 horas,21-40,Si,COLEGIO CENTRAL,FEMENINO,NO OFICIAL,B,S,TECNICO,SEDE PRINCIPAL,N,RURAL,NOCHE,MEDELLIN,VALLE,237,22
TI,F,20172,COLOMBIA,SANTANDER,BUCARAMANGA,Educacion Profesional completa,Educacion Profesional completa,Estrato 3,5 a 6,Dos,No,Si,Si,Si,No,No,No,No,0 A 10 LIBROS,Todos o casi todos los dias,Todos o casi todos los dias,Nunca,Si,Si,Peor,30 minutos o menos,Más de 3 horas,0,Si,COLEGIO COMFANDI EL PRADO,MIXTO,NO OFICIAL,A,S,TECNICO,SEDE PRINCIPAL,N,RURAL,NOCHE,CALI,CUNDINAMARCA,399,21
CC,M,20182,COLOMBIA,VALLE,BUCARAMANGA,Educacion Profesional completa,Educacion Profesional completa,Estrato 4,5 a 6,Tres,Si,Si,Si,Si,Si,Si,No,No,51 A 100 LIBROS,Todos o casi todos los dias,3 a 5 veces por semana,1 vez por semana,Si,No,Igual,30 minutos o menos,30 minutos o menos,1-10,No,COLEGIO CENTRAL,MASCULINO,NO OFICIAL,A,S,TECNICO,SEDE SECUNDARIA,S,RURAL,NOCHE,BUCARAMANGA,SANTANDER,378,18
CC,M,20172,COLOMBIA,CUNDINAMARCA,BARRANQUILLA,Educacion Profesional completa,Educacion Profesional incompleta,Estrato 1,3 a 4,Cuatro,Si,Si,Si,Si,Si,Si,Si,No,51 A 100 LIBROS,1 vez por semana,Todos o casi todos los dias,3 a 5 veces por semana,No aplica,Si,Igual,Más de 3 horas,30 minutos o menos,1-10,Si,COLEGIO CENTRAL,MASCULINO,NO OFICIAL,B,N,TECNICO,SEDE PRINCIPAL,S,RURAL,TARDE,BUCARAMANGA,CUNDINAMARCA,332,24
CE,M,20192,COLOMBIA,ATLANTICO,BUCARAMANGA,No aplica,No aplica,Estrato 6,3 a 4,Dos,Si,Si,Si,Si,Si,Si,No,Si,51 A 100 LIBROS,Todos o casi todos los dias,3 a 5 veces por semana,3 a 5 veces por semana,Si,No aplica,Igual,30 minutos o menos,Entre 1 y 3 horas,0,No,COLEGIO COMFANDI EL PRADO,MASCULINO,OFICIAL,A,N,TECNICO,SEDE PRINCIPAL,N,RURAL,TARDE,BOGOTA,VALLE,191,17
CC,M,20182,COLOMBIA,CUNDINAMARCA,BARRANQUILLA,No aplica,Educacion Profesional incompleta,Estrato 2,5 a 6,Cinco,Si,No,Si,No,Si,No,Si,No,0 A 10 LIBROS,Todos o casi todos los dias,3 a 5 veces por semana,Nunca,Si,Si,Igual,30 minutos o menos,Entre 1 y 3 horas,21-40,Si,COLEGIO MAYOR,FEMENINO,NO OFICIAL,A,S,TECNICO,SEDE SECUNDARIA,S,URBANO,MANANA,BARRANQUILLA,ANTIOQUIA,351,20
CC,F,20181,COLOMBIA,CUNDINAMARCA,MEDELLIN,Educacion Profesional completa,Educacion Profesional incompleta,Estrato 3,7 o más,Cuatro,No,No,No,No,Si,Si,No,Si,0 A 10 LIBROS,1 vez por semana,Todos o casi todos los dias,1 vez por semana,No,No,Igual,Entre 1 y 3 horas,Más de 3 horas,21-40,No,COLEGIO MAYOR,MASCULINO,NO OFICIAL,B,N,TECNICO,COLEGIO COMFANDI EL PRADO,N,URBANO,TARDE,MEDELLIN,SANTANDER,321,29
CE,F,20172,COLOMBIA,SANTANDER,BARRANQUILLA,Educacion Profesional completa,No aplica,Estrato 3,7 o más,Tres,Si,Si,No,No,Si,No,No,Si,51 A 100 LIBROS,1 vez por semana,3 a 5 veces por semana,Todos o casi todos los dias,No sabe,Si,Mejor,30 minutos o menos,Más de 3 horas,21-40,Si,COLEGIO MAYOR,MIXTO,NO OFICIAL,A,N,TECNICO,COLEGIO COMFANDI EL PRADO,N,RURAL,NOCHE,BARRANQUILLA,VALLE,387,24
CC,M,20191,COLOMBIA,ANTIOQUIA,BUCARAMANGA,Educacion Profesional completa,No aplica,Estrato 2,7 o más,Dos,No,No,Si,No,No,Si,No,No,51 A 100 LIBROS,1 vez por semana,3 a 5 veces por semana,Todos o casi todos los dias,Si,Si,Igual,Entre 1 y 3 horas,Entre 1 y 3 horas,11-20,No,COLEGIO CENTRAL,MIXTO,NO OFICIAL,A,S,ACADEMICO,SEDE SECUNDARIA,N,URBANO,NOCHE,BOGOTA,ANTIOQUIA,188,18
TI,F,20181,COLOMBIA,CUNDINAMARCA,BARRANQUILLA,No aplica,Educacion Profesional completa,Estrato 5,3 a 4,Cinco,Si,No,No,No,No,Si,Si,Si,51 A 100 LIBROS,1 vez por semana,Nunca,3 a 5 veces por semana,No sabe,Si,Mejor,Entre 1 y 3 horas,Más de 3 horas,11-20,Si,COLEGIO COMFANDI EL PRADO,MASCULINO,OFICIAL,A,N,ACADEMICO,SEDE SECUNDARIA,S,RURAL,MANANA,BOGOTA,ANTIOQUIA,285,29
CC,F,20182,COLOMBIA,ATLANTICO,CALI,Educacion Profesional completa,Educacion Profesional completa,Estrato 5,7 o más,Cuatro,No,Si,Si,No,No,Si,Si,Si,11 A 50 LIBROS,3 a 5 veces por semana,3 a 5 veces por semana,1 vez por semana,No aplica,No,Igual,Más de 3 horas,Más de 3 horas,0,No,COLEGIO CENTRAL,FEMENINO,NO OFICIAL,A,N,ACADEMICO,SEDE SECUNDARIA,N,RURAL,NOCHE,CALI,ANTIOQUIA,224,24
CE,M,20171,COLOMBIA,VALLE,BUCARAMANGA,Educacion Profesional incompleta,Educacion Profesional completa,Estrato 5,3 a 4,Tres,No,Si,No,Si,Si,Si,No,No,11 A 50 LIBROS,Todos o casi todos los dias,Nunca,3 a 5 veces por semana,Si,No sabe,Mejor,30 minutos o menos,Más de 3 horas,11-20,No,COLEGIO CENTRAL,MASCULINO,OFICIAL,A,N,TECNICO,COLEGIO COMFANDI EL PRADO,S,URBANO,NOCHE,MEDELLIN,ATLANTICO,387,21
TI,M,20181,COLOMBIA,ANTIOQUIA,CALI,Educacion Profesional incompleta,Educacion Profesional completa,Estrato 5,7 o más,Cuatro,No,Si,Si,Si,Si,No,No,No,MAS DE 100 LIBROS,3 a 5 veces por semana,1 vez por semana,3 a 5 veces por semana,No sabe,No sabe,Igual,Más de 3 horas,Entre 1 y 3 horas,11-20,No,COLEGIO CENTRAL,FEMENINO,NO OFICIAL,A,N,ACADEMICO,SEDE PRINCIPAL,S,URBANO,TARDE,BUCARAMANGA,ATLANTICO,330,26
CC,M,20172,COLOMBIA,ATLANTICO,MEDELLIN,No aplica,No aplica,Estrato 5,5 a 6,Tres,No,Si,Si,Si,Si,No,No,No,51 A 100 LIBROS,1 vez por semana,Nunca,3 a 5 veces por semana,No aplica,No aplica,Peor,Entre 1 y 3 horas,Entre 1 y 3 horas,21-40,No,COLEGIO CENTRAL,FEMENINO,OFICIAL,A,S,TECNICO,SEDE PRINCIPAL,S,URBANO,MANANA,MEDELLIN,ANTIOQUIA,336,16
TI,F,20172,COLOMBIA,CUNDINAMARCA,CALI,Educacion Profesional incompleta,No aplica,Estrato 3,5 a 6,Dos,No,No,Si,No,Si,Si,Si,No,0 A 10 LIBROS,1 vez por semana,Nunca,1 vez por semana,No,No aplica,Igual,Más de 3 horas,Entre 1 y 3 horas,1-10,Si,COLEGIO COMFANDI EL PRADO,MIXTO,NO OFICIAL,A,S,ACADEMICO,SEDE SECUNDARIA,S,URBANO,TARDE,CALI,VALLE,373,18
CE,F,20172,COLOMBIA,CUNDINAMARCA,BOGOTA,No aplica,Educacion Profesional completa,Estrato 1,3 a 4,Dos,No,Si,Si,Si,Si,Si,Si,No,51 A 100 LIBROS,Todos o casi todos los dias,3 a 5 veces por semana,Todos o casi todos los dias,Si,No,Peor,Más de 3 horas,Más de 3 horas,21-40,Si,COLEGIO COMFANDI EL PRADO,FEMENINO,OFICIAL,B,S,ACADEMICO,COLEGIO COMFANDI EL PRADO,N,URBANO,MANANA,BARRANQUILLA,ATLANTICO,159,17
TI,F,20192,COLOMBIA,ATLANTICO,BARRANQUILLA,Educacion Profesional completa,No aplica,Estrato 1,3 a 4,Cuatro,Si,Si,Si,Si,No,No,No,Si,11 A 50 LIBROS,Todos o casi todos los dias,3 a 5 veces por semana,1 vez por semana,No aplica,Si,Mejor,30 minutos o menos,30 minutos o menos,11-20,Si,COLEGIO COMFANDI EL PRADO,FEMENINO,OFICIAL,B,S,TECNICO,SEDE PRINCIPAL,N,URBANO,TARDE,CALI,VALLE,322,19
CC,M,20172,COLOMBIA,VALLE,CALI,No aplica,No aplica,Estrato 5,3 a 4,Dos,No,Si,No,Si,Si,No,No,No,51 A 100 LIBROS,1 vez por semana,Todos o casi todos los dias,Todos o casi todos los dias,Si,No sabe,Peor,Entre 1 y 3 horas,Más de 3 horas,0,Si,COLEGIO COMFANDI EL PRADO,MASCULINO,NO OFICIAL,B,N,TECNICO,SEDE SECUNDARIA,N,RURAL,MANANA,BARRANQUILLA,SANTANDER,396,20
CE,F,20171,COLOMBIA,ATLANTICO,MEDELLIN,Educacion Profesional completa,Educacion Profesional incompleta,Estrato 6,3 a 4,Cinco,Si,Si,No,Si,Si,No,No,Si,51 A 100 LIBROS,Todos o casi todos los dias,Nunca,Nunca,No,No sabe,Mejor,Entre 1 y 3 horas,30 minutos o menos,0,No,COLEGIO CENTRAL,FEMENINO,NO OFICIAL,A,N,TECNICO,COLEGIO COMFANDI EL PRADO,N,URBANO,TARDE,BARRANQUILLA,ATLANTICO,368,18
TI,F,20192,COLOMBIA,ANTIOQUIA,BARRANQUILLA,Educacion Profesional incompleta,Educacion Profesional incompleta,Estrato 2,7 o más,Cinco,No,No,No,Si,No,No,No,Si,0 A 10 LIBROS,Nunca,3 a 5 veces por semana,3 a 5 veces por semana,No aplica,Si,Mejor,30 minutos o menos,Más de 3 horas,11-20,No,COLEGIO COMFANDI EL PRADO,MIXTO,OFICIAL,A,S,TECNICO,SEDE PRINCIPAL,N,URBANO,TARDE,CALI,ATLANTICO,184,22
CE,M,20171,COLOMBIA,VALLE,CALI,Educacion Profesional completa,Educacion Profesional completa,Estrato 2,5 a 6,Tres,No,No,No,No,No,No,Si,Si,11 A 50 LIBROS,Todos o casi todos los dias,Nunca,Todos o casi todos los dias,No aplica,No,Igual,Entre 1 y 3 horas,30 minutos o menos,1-10,No,COLEGIO CENTRAL,MASCULINO,OFICIAL,B,N,ACADEMICO,COLEGIO COMFANDI EL PRADO,S,RURAL,MANANA,MEDELLIN,ATLANTICO,154,17
TI,M,20172,COLOMBIA,CUNDINAMARCA,BARRANQUILLA,Educacion Profesional incompleta,No aplica,Estrato 2,3 a 4,Cuatro,Si,Si,No,No,No,No,No,No,11 A 50 LIBROS,3 a 5 veces por semana,Nunca,Nunca,No,No aplica,Peor,Entre 1 y 3 horas,30 minutos o menos,11-20,No,COLEGIO CENTRAL,FEMENINO,NO OFICIAL,A,N,TECNICO,COLEGIO COMFANDI EL PRADO,S,URBANO,MANANA,BARRANQUILLA,ANTIOQUIA,362,19
TI,M,20182,COLOMBIA,CUNDINAMARCA,MEDELLIN,No aplica,Educacion Profesional completa,Estrato 1,5 a 6,Dos,Si,No,Si,Si,No,No,Si,No,51 A 100 LIBROS,Nunca,Todos o casi todos los dias,1 vez por semana,Si,No sabe,Mejor,Más de 3 horas,Entre 1 y 3 horas,11-20,No,COLEGIO MAYOR,MIXTO,NO OFICIAL,A,N,TECNICO,COLEGIO COMFANDI EL PRADO,S,URBANO,NOCHE,BUCARAMANGA,CUNDINAMARCA,396,19
TI,M,20191,COLOMBIA,ANTIOQUIA,BOGOTA,Educacion Profesional completa,Educacion Profesional incompleta,Estrato 3,5 a 6,Cinco,No,No,No,Si,Si,Si,No,No,0 A 10 LIBROS,3 a 5 veces por semana,Nunca,1 vez por semana,No aplica,Si,Mejor,Más de 3 horas,Más de 3 horas,21-40,Si,COLEGIO CENTRAL,MIXTO,NO OFICIAL,B,S,ACADEMICO,COLEGIO COMFANDI EL PRADO,S,RURAL,TARDE,BUCARAMANGA,CUNDINAMARCA,194,21
CC,M,20191,COLOMBIA,ATLANTICO,BARRANQUILLA,Educacion Profesional incompleta,Educacion Profesional completa,Estrato 1,3 a 4,Cinco,Si,No,Si,No,Si,Si,No,No,51 A 100 LIBROS,3 a 5 veces por semana,Todos o casi todos los dias,3 a 5 veces por semana,No sabe,Si,Mejor,Más de 3 horas,30 minutos o menos,1-10,Si,COLEGIO COMFANDI EL PRADO,FEMENINO,NO OFICIAL,B,N,ACADEMICO,COLEGIO COMFANDI EL PRADO,S,RURAL,MANANA,BUCARAMANGA,CUNDINAMARCA,256,16
CE,F,20182,COLOMBIA,VALLE,MEDELLIN,Educacion Profesional incompleta,No aplica,Estrato 2,7 o más,Dos,Si,Si,No,No,Si,No,Si,Si,51 A 100 LIBROS,1 vez por semana,Todos o casi todos los dias,Todos o casi todos los dias,No,No sabe,Igual,Más de 3 horas,30 minutos o menos,1-10,Si,COLEGIO MAYOR,FEMENINO,OFICIAL,A,N,TECNICO,SEDE SECUNDARIA,N,RURAL,TARDE,CALI,VALLE,202,24
CC,M,20181,COLOMBIA,ATLANTICO,CALI,Educacion Profesional completa,No aplica,Estrato 6,5 a 6,Dos,Si,Si,No,Si,No,Si,Si,Si,11 A 50 LIBROS,1 vez por semana,1 vez por semana,3 a 5 veces por semana,No sabe,No sabe,Igual,30 minutos o menos,30 minutos o menos,0,No,COLEGIO CENTRAL,FEMENINO,OFICIAL,B,N,ACADEMICO,SEDE PRINCIPAL,N,RURAL,MANANA,BOGOTA,CUNDINAMARCA,321,16
TI,F,20182,COLOMBIA,CUNDINAMARCA,CALI,Educacion Profesional completa,No aplica,Estrato 5,3 a 4,Cuatro,No,Si,No,No,Si,Si,No,No,51 A 100 LIBROS,Nunca,Nunca,Nunca,No,No aplica,Igual,Entre 1 y 3 horas,Entre 1 y 3 horas,21-40,No,COLEGIO CENTRAL,MIXTO,NO OFICIAL,A,N,TECNICO,SEDE PRINCIPAL,N,URBANO,MANANA,BUCARAMANGA,VALLE,323,28
CC,F,20192,COLOMBIA,VALLE,BUCARAMANGA,Educacion Profesional completa,Educacion Profesional incompleta,Estrato 1,7 o más,Cinco,Si,No,No,Si,Si,No,Si,Si,0 A 10 LIBROS,Nunca,Todos o casi todos los dias,1 vez por semana,Si,No,Mejor,30 minutos o menos,Entre 1 y 3 horas,11-20,Si,COLEGIO COMFANDI EL PRADO,FEMENINO,NO OFICIAL,A,N,ACADEMICO,SEDE SECUNDARIA,S,RURAL,NOCHE,BARRANQUILLA,SANTANDER,377,26
TI,F,20181,COLOMBIA,VALLE,BUCARAMANGA,Educacion Profesional completa,Educacion Profesional completa,Estrato 3,3 a 4,Tres,No,Si,No,Si,Si,No,No,No,51 A 100 LIBROS,3 a 5 veces por semana,Todos o casi todos los dias,3 a 5 veces por semana,No,No sabe,Peor,Entre 1 y 3 horas,Más de 3 horas,1-10,No,COLEGIO MAYOR,FEMENINO,OFICIAL,A,N,TECNICO,COLEGIO COMFANDI EL PRADO,S,URBANO,NOCHE,MEDELLIN,ATLANTICO,266,27
CE,F,20171,COLOMBIA,CUNDINAMARCA,BUCARAMANGA,Educacion Profesional completa,Educacion Profesional completa,Estrato 4,5 a 6,Cinco,No,Si,Si,Si,Si,Si,Si,No,11 A 50 LIBROS,1 vez por semana,Todos o casi todos los dias,1 vez por semana,No,No sabe,Mejor,30 minutos o menos,Más de 3 horas,0,Si,COLEGIO COMFANDI EL PRADO,FEMENINO,OFICIAL,A,N,TECNICO,COLEGIO COMFANDI EL PRADO,S,URBANO,NOCHE,BUCARAMANGA,ANTIOQUIA,227,16
CE,F,20182,COLOMBIA,CUNDINAMARCA,BARRANQUILLA,Educacion Profesional incompleta,Educacion Profesional completa,Estrato 5,5 a 6,Dos,No,Si,No,No,No,No,No,Si,MAS DE 100 LIBROS,Todos o casi todos los dias,1 vez por semana,Nunca,No sabe,No aplica,Mejor,30 minutos o menos,Entre 1 y 3 horas,21-40,Si,COLEGIO MAYOR,FEMENINO,NO OFICIAL,A,S,ACADEMICO,SEDE PRINCIPAL,S,URBANO,NOCHE,MEDELLIN,VALLE,159,16
CE,F,20171,COLOMBIA,VALLE,BUCARAMANGA,Educacion Profesional incompleta,Educacion Profesional incompleta,Estrato 3,7 o más,Cinco,Si,No,Si,No,Si,No,Si,Si,MAS DE 100 LIBROS,Todos o casi todos los dias,1 vez por semana,Todos o casi todos los dias,No sabe,No aplica,Mejor,Entre 1 y 3 horas,Entre 1 y 3 horas,11-20,No,COLEGIO MAYOR,MASCULINO,OFICIAL,B,S,TECNICO,SEDE SECUNDARIA,S,URBANO,MANANA,BOGOTA,SANTANDER,373,25
TI,M,20171,COLOMBIA,CUNDINAMARCA,BUCARAMANGA,No aplica,Educacion Profesional incompleta,Estrato 1,5 a 6,Cuatro,Si,Si,Si,No,No,Si,Si,No,11 A 50 LIBROS,Todos o casi todos los dias,3 a 5 veces por semana,1 vez por semana,No sabe,Si,Mejor,Más de 3 horas,30 minutos o menos,1-10,No,COLEGIO CENTRAL,MIXTO,OFICIAL,A,N,TECNICO,COLEGIO COMFANDI EL PRADO,S,RURAL,TARDE,CALI,SANTANDER,351,16
TI,F,20182,COLOMBIA,ANTIOQUIA,BARRANQUILLA,No aplica,No aplica,Estrato 1,7 o más,Cuatro,No,No,No,Si,No,Si,Si,No,11 A 50 LIBROS,3 a 5 veces por semana,3 a 5 veces por semana,Todos o casi todos los dias,Si,Si,Mejor,Entre 1 y 3 horas,30 minutos o menos,21-40,Si,COLEGIO COMFANDI EL PRADO,MIXTO,NO OFICIAL,A,N,ACADEMICO,COLEGIO COMFANDI EL PRADO,N,URBANO,MANANA,CALI,SANTANDER,244,25
